,index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
0,0,1975.0,Beowulf,"Unknown, Seamus Heaney",en-US,Novice,3.42,155903.0,genre fiction,34160.0,20496.0,4.88,1.0,HarperCollins Publishers,7000.0
1,1,1987.0,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",eng,Intermediate,4.23,145267.0,genre fiction,12437.5,7462.5,1.99,2.0,HarperCollins Publishers,6250.0
2,2,2015.0,Go Set a Watchman,Harper Lee,eng,Novice,3.31,138669.0,,47795.0,28677.0,8.69,3.0,"Amazon Digital Services,  Inc.",5500.0
3,3,2008.0,,David Sedaris,en-US,Intermediate,4.04,150898.0,fiction,41250.0,,7.5,,Hachette Book Group,5500.0
4,4,2011.0,Daughter of Smoke & Bone,Laini Taylor,eng,Intermediate,4.04,198283.0,genre fiction,37952.5,22771.5,7.99,,Penguin Group (USA) LLC,4750.0
5,5,2015.0,Red Queen,Victoria Aveyard,eng,Intermediate,4.08,83354.0,,19960.0,0.0,4.99,,"Amazon Digital Services,  Inc.",4000.0
6,6,2011.0,The Power of Habit,Charles Duhigg,eng,Intermediate,4.03,155977.0,genre fiction,27491.67,16495.002,6.99,6.0,HarperCollins Publishers,3933.0
7,7,1994.0,Midnight in the Garden of Good and Evil,John Berendt,eng,Intermediate,3.9,167997.0,nonfiction,26182.0,15709.2,6.89,8.0,Hachette Book Group,3800.0
8,8,2012.0,Hopeless,Colleen Hoover,eng,Intermediate,4.34,,genre fiction,26093.67,15656.202,6.99,9.0,HarperCollins Publishers,3733.0
9,9,1905.0,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",,Intermediate,4.2,,genre fiction,23792.34,14275.404,6.49,10.0,Random House LLC,3666.0
10,10,2004.0,The Truth About Forever,Sarah Dessen,en-US,Intermediate,4.13,179415.0,genre fiction,17964.0,0.0,4.99,11.0,"Amazon Digital Services,  Inc.",3600.0
11,11,1954.0,The horse and his boy,C.S. Lewis,eng,Intermediate,3.9,189671.0,fiction,21564.0,12938.4,5.99,11.0,Penguin Group (USA) LLC,3600.0
12,12,2010.0,Last Sacrifice ,Richelle Mead,eng,Famous,4.42,206792.0,genre fiction,3431.34,0.0,0.99,13.0,"Amazon Digital Services,  Inc.",3466.0
